,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
295,22.7,-9.3,37.8,1221.7,2286.0,129.0,13.8,,1016.6,0.0
296,12.2,-14.4,34.4,1316.1,,287.6,11.5,,1015.8,0.0
297,16.5,-1.6,43.8,382.6,,249.5,20.3,,1015.9,0.0
298,11.3,-24.5,33.5,976.7,530.0,255.2,14.1,,1017.5,0.0
299,12.1,-3.8,42.3,1202.5,180.0,176.0,8.9,,1018.0,0.0
300,9.8,-19.3,32.7,1356.9,460.0,255.9,10.8,,1017.3,0.0
301,11.5,-23.6,32.6,1124.9,410.0,237.1,13.3,,1017.3,0.0
302,14.0,-28.5,37.6,901.1,100.0,128.2,12.8,,1016.6,0.0
303,11.6,-24.3,33.7,1010.9,,258.6,13.9,,1017.4,0.0
304,21.4,-9.0,36.0,1426.2,50.0,62.8,9.7,,1017.0,0.0
305,14.2,-11.0,37.3,1190.1,,300.3,7.8,,1017.3,0.0
306,18.0,-1.8,43.8,215.4,,321.4,9.6,,1015.2,0.0
307,12.8,-28.7,39.5,388.7,80.0,16.2,12.5,,1014.5,0.0
308,19.5,-22.9,36.6,1233.0,,150.2,12.6,,1016.6,0.0
309,16.7,3.5,32.4,111.1,,237.3,9.2,,1015.1,0.0
310,25.2,4.0,47.9,44.4,,234.2,11.7,,1012.0,0.0
311,21.9,-3.8,36.7,2108.2,,97.0,12.0,,1017.8,0.0
312,23.6,1.4,45.5,166.9,,303.1,10.0,,1011.9,0.0
313,14.8,-21.8,37.5,1324.2,180.0,172.9,14.2,,1017.0,0.0
314,18.2,-3.0,36.3,1195.9,0.0,276.9,7.1,,1018.4,0.0
315,17.4,-1.1,43.9,396.4,,165.5,11.5,,1015.5,0.0
316,10.5,-25.2,37.8,367.1,410.0,6.6,7.4,,1018.0,0.0
317,24.8,6.7,34.4,971.7,0.0,79.2,12.8,,1018.0,0.0
318,16.9,-0.5,39.1,187.2,,168.5,6.4,,1015.0,0.0
319,18.5,-18.1,36.9,1239.5,100.0,102.1,11.7,,1017.0,0.0
320,14.3,-24.9,37.3,1029.9,,165.0,13.4,,1016.6,0.0
321,13.8,-0.9,33.4,171.0,,318.2,10.9,,1016.7,0.0
322,20.4,-4.0,34.0,1785.6,,118.4,11.2,,1017.4,0.0
323,19.3,-19.1,38.3,1122.8,100.0,137.6,14.5,,1017.3,0.0
324,13.4,-15.1,42.1,196.1,80.0,94.9,12.4,,1014.9,0.0
325,14.4,-11.4,35.1,986.1,80.0,235.7,6.8,,1018.0,0.0
326,18.1,4.5,36.2,110.9,,213.7,8.1,,1015.1,0.0
327,18.4,0.7,38.6,147.7,,176.1,6.5,,1014.8,0.0
328,10.3,-29.2,39.7,265.3,,9.4,11.2,,1016.9,0.0
329,27.1,19.9,34.3,266.7,,85.1,14.5,,1016.1,0.0
330,19.5,-7.9,42.0,206.1,,265.9,13.2,,1018.5,0.0
331,20.6,0.3,33.4,1623.9,,68.7,13.4,,1017.9,0.0
332,23.4,-5.6,36.7,764.6,0.0,108.9,16.6,,1015.1,0.0
333,13.0,-11.0,39.9,597.8,150.0,255.5,13.1,,1019.0,0.0
334,16.4,-3.9,34.5,829.6,80.0,282.1,14.3,,1018.2,0.0
335,12.7,-18.0,33.9,910.9,350.0,274.0,12.5,,1017.0,0.0
336,15.9,-5.9,39.1,1338.1,50.0,293.7,10.5,,1018.9,0.0
337,12.1,-21.6,35.1,1190.9,280.0,233.4,17.1,,1017.4,0.0
338,25.1,5.0,36.0,936.2,0.0,82.1,12.7,,1017.7,0.0
339,20.1,-15.3,37.3,983.5,150.0,142.3,12.1,,1017.2,0.0
340,12.4,-12.8,44.9,147.1,0.0,277.7,10.1,,1016.4,0.0
341,12.1,-16.8,33.5,1027.1,350.0,293.3,10.3,,1017.7,0.0
